1.14 ,1.25 
1.22 ,1.29 
1.25 ,1.30 
1.24 ,1.29 
1.42 ,1.43 
0.76 ,0.91 
1.47 ,1.36 
1.26 ,1.43 
0.74 ,0.93 
0.83 ,0.96 
0.82 ,0.97 
0.84 ,0.97 
1.05 ,1.10 
1.00 ,1.10 
0.49 ,0.63 
0.55 ,0.68 
1.01 ,1.05 
1.06 ,1.10 
0.81 ,0.95 
0.85 ,0.97 
0.86 ,0.96 
1.18 ,1.10 
0.68 ,0.71 
0.66 ,0.73 
0.73 ,0.74 
0.74 ,0.74 
0.97 ,0.86 
0.95 ,0.86 
0.51 ,0.44 
0.62 ,0.49 
0.90 ,0.81 
0.97 ,0.86 
0.73 ,0.73 
0.75 ,0.74 
0.79 ,0.74 
0.97 ,0.86 
1.43 ,1.32 
1.36 ,1.35 
1.47 ,1.36 
1.42 ,1.36 
1.01 ,0.98 
1.61 ,1.43 
0.96 ,1.03 
1.00 ,1.04 
0.99 ,1.03 
1.08 ,1.16 
1.03 ,1.17 
0.64 ,0.70 
0.66 ,0.75 
1.15 ,1.11 
1.16 ,1.17 
0.90 ,1.04 
0.97 ,1.16 
0.85 ,0.76 
0.78 ,0.78 
0.91 ,0.80 
0.79 ,0.79 
0.93 ,0.91 
0.99 ,0.86 
1.06 ,0.91 
0.65 ,0.78 
0.88 ,0.79 
0.70 ,0.91 
1.43 ,1.31 
1.39 ,1.36 
1.31 ,1.35 
1.01 ,0.98 
1.37 ,1.43 
0.87 ,0.98 
0.96 ,1.03 
0.92 ,1.02 
0.76 ,0.73 
1.17 ,1.08 
0.82 ,0.70 
0.72 ,0.73 
1.34 ,1.15 
1.19 ,1.21 
1.34 ,1.21 
0.44 ,0.58 
0.52 ,0.61 
0.48 ,0.61 
0.70 ,0.74 
0.37 ,0.28 
0.47 ,0.33 
0.72 ,0.69 
0.67 ,0.75 
0.55 ,0.61 
0.29 ,0.35 
0.39 ,0.38 
0.34 ,0.38 
0.41 ,0.38 
1.31 ,1.22 
1.45 ,1.26 
1.47 ,1.26 
0.95 ,0.91 
1.49 ,1.33 
1.17 ,1.26 
0.76 ,0.87 
0.92 ,0.87 
1.07 ,0.99 
1.08 ,1.00 
0.62 ,0.53 
0.37 ,0.58 
0.79 ,0.94 
1.04 ,1.00 
0.89 ,0.87 
0.94 ,0.86 
0.73 ,0.67 
0.61 ,0.68 
0.80 ,0.67 
0.88 ,0.79 
1.00 ,0.79 
0.44 ,0.37 
0.38 ,0.42 
0.57 ,0.74 
0.82 ,0.79 
0.75 ,0.66 
0.82 ,0.68 
0.88 ,0.67 
